file,brick,trial,channel,uL_mg_hr,temp_C,vessel,date,environment
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/newpyro-trial1.csv,newpyro,trial1,Ch2,2.81633879298096,27.921,small,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/newpyro-trial1.csv,newpyro,trial1,Ch3,2.99507160262665,27.921,small,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/newpyro-trial1.csv,newpyro,trial1,Ch4,3.28713917653296,27.921,small,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial1.csv,box2,trial1,Ch2,2.55433236616925,27.948,small,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial1.csv,box2,trial1,Ch3,3.20913891671569,27.948,small,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial1.csv,box2,trial1,Ch4,3.29735502433983,27.948,small,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box3-trial1.csv,box3,trial1,Ch2,12.887819914909,28.233,cylinder,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box3-trial1.csv,box3,trial1,Ch3,12.567816591944,28.233,cylinder,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box3-trial1.csv,box3,trial1,Ch4,11.5435147415299,28.233,cylinder,10Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial3.csv,box2,trial3,Ch2,2.02667045606642,26.75,medium,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial3.csv,box2,trial3,Ch3,1.29958627019845,26.75,medium,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial3.csv,box2,trial3,Ch4,2.93815610989661,26.75,medium,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/newpyro-trial3.csv,newpyro,trial3,Ch2,0.568629563146364,26.813,small,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/newpyro-trial3.csv,newpyro,trial3,Ch3,0.330380825690887,26.813,small,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/newpyro-trial3.csv,newpyro,trial3,Ch4,0.347908646852201,26.813,small,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial3.csv,box2,trial3,Ch2,5.25668398694343,26.75,cylinder,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial3.csv,box2,trial3,Ch3,3.29913539059008,26.75,cylinder,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/box2-trial3.csv,box2,trial3,Ch4,7.47405754763207,26.75,cylinder,12Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-box2-13Nov.csv,box2,trial4,Ch2,1.00415236257775,27.142,small,13Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-box2-13Nov.csv,box2,trial4,Ch3,1.40520354575993,27.142,small,13Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-box2-13Nov.csv,box2,trial4,Ch4,0.864629838228601,27.142,small,13Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-box3-13Nov.csv,box3,trial4,Ch2,0.909044694488646,27.185,small,13Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-box3-13Nov.csv,box3,trial4,Ch3,1.11745447606263,27.185,small,13Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-box3-13Nov.csv,box3,trial4,Ch4,1.63670829896337,27.185,small,13Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-light-box2-14Nov.csv,box2,trial4.5,Ch2,0.96029689941938,26.728,small,14Nov2025,light
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-light-box2-14Nov.csv,box2,trial4.5,Ch3,0.911060017162763,26.728,small,14Nov2025,light
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-light-box2-14Nov.csv,box2,trial4.5,Ch4,1.25352350413337,26.728,small,14Nov2025,light
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-light-box3-14Nov.csv,box3,trial4.5,Ch2,1.12921201635858,26.774,small,14Nov2025,light
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-light-box3-14Nov.csv,box3,trial4.5,Ch3,1.94815836521514,26.774,small,14Nov2025,light
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-light-box3-14Nov.csv,box3,trial4.5,Ch4,-0.486397382565708,26.774,small,14Nov2025,light
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial5-box2-14Nov.csv,box2,trial5,Ch2,0.422836910197287,26.506,small,14Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial5-box2-14Nov.csv,box2,trial5,Ch3,0.420699607188018,26.506,small,14Nov2025,dark
/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial5-box2-14Nov.csv,box2,trial5,Ch4,-0.382707656259895,26.506,small,14Nov2025,dark
